Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,Screw_Terminal_01x02,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",200.685,-132.915,90.0,top
J2,Conn_01x16,Konektor,161.4932,-92.6592,0.0,top
SW1,SW_SPDT,EG1271A,126.3876,-111.9632,-90.0,top
SW2,SW_SPDT,EG1271A,135.3904,-111.9632,-90.0,top
SW3,SW_SPDT,EG1271A,144.3904,-111.9632,-90.0,top
SW4,SW_SPDT,EG1271A,153.3904,-111.9632,-90.0,top
SW5,SW_SPDT,EG1271A,162.3904,-111.9632,-90.0,top
SW6,SW_SPDT,EG1271A,171.3904,-111.9632,-90.0,top
SW7,SW_SPDT,EG1271A,180.3904,-111.9632,-90.0,top
SW8,SW_SPDT,EG1271A,189.3904,-111.9632,-90.0,top
SW9,SW_SPDT,EG1271A,126.3876,-130.7084,-90.0,top
SW10,SW_SPDT,EG1271A,135.3904,-130.7084,-90.0,top
SW11,SW_SPDT,EG1271A,144.3904,-130.7084,-90.0,top
SW12,SW_SPDT,EG1271A,153.3904,-130.7084,-90.0,top
SW13,SW_SPDT,EG1271A,162.3904,-130.7084,-90.0,top
SW14,SW_SPDT,EG1271A,171.3904,-130.7084,-90.0,top
SW15,SW_SPDT,EG1271A,180.3904,-130.7084,-90.0,top
SW16,SW_SPDT,EG1271A,189.3904,-130.7084,-90.0,top
